City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Barrow,US,2021-10-31 02:27:40,71.2906,-156.7887,17.62,86,90,6.91,overcast clouds
60,Ahipara,NZ,2021-10-31 02:27:40,-35.1667,173.1667,62.56,71,97,6.4,overcast clouds
61,Castro,BR,2021-10-31 02:23:07,-24.7911,-50.0119,59.76,96,100,8.48,overcast clouds
62,Narsaq,GL,2021-10-31 02:26:16,60.9167,-46.05,28.62,75,50,4.97,scattered clouds
63,Santa Rosa,PH,2021-10-31 02:27:41,14.3122,121.1114,90.09,57,12,16.22,few clouds
64,Camopi,GF,2021-10-31 02:25:30,3.1655,-52.3158,72.95,99,100,1.79,overcast clouds
65,Albany,US,2021-10-31 02:23:12,42.6001,-73.9662,55.74,94,100,2.33,light rain
66,Ballina,AU,2021-10-31 02:27:41,-28.8667,153.5667,71.64,66,75,19.57,broken clouds
67,Dikson,RU,2021-10-31 02:27:42,73.5069,80.5464,6.31,90,97,15.39,overcast clouds
68,Griffith,US,2021-10-31 02:27:42,41.5284,-87.4237,53.06,95,90,1.01,overcast clouds
69,New Norfolk,AU,2021-10-31 02:25:22,-42.7826,147.0587,60.75,47,100,5.01,overcast clouds
70,Mikkeli,FI,2021-10-31 02:27:42,61.6886,27.2723,46.51,81,90,4.61,overcast clouds
71,Juripiranga,BR,2021-10-31 02:27:43,-7.3733,-35.2381,78.19,78,11,5.46,few clouds
72,Mar Del Plata,AR,2021-10-31 02:23:30,-38.0023,-57.5575,57.09,85,75,3.0,broken clouds
73,Pangody,RU,2021-10-31 02:27:43,65.85,74.4859,11.53,92,100,15.9,overcast clouds
74,Ocho Rios,JM,2021-10-31 02:27:43,18.4025,-77.1048,82.15,80,100,3.06,overcast clouds
75,Puerto Ayora,EC,2021-10-31 02:27:44,-0.7393,-90.3518,70.65,85,100,7.27,overcast clouds
76,Bredasdorp,ZA,2021-10-31 02:27:44,-34.5322,20.0403,59.29,94,20,3.44,few clouds
77,Coihaique,CL,2021-10-31 02:23:02,-45.5752,-72.0662,48.15,43,0,6.91,clear sky
78,Wembley,AU,2021-10-31 02:27:44,-31.9333,115.8,73.17,53,0,3.44,clear sky
79,Vaini,TO,2021-10-31 02:27:45,-21.2,-175.2,80.76,78,20,8.05,few clouds
80,Lebedinyy,RU,2021-10-31 02:27:45,58.5167,125.5167,20.16,82,98,10.98,overcast clouds
81,Butaritari,KI,2021-10-31 02:27:45,3.0707,172.7902,82.49,73,2,5.41,clear sky
82,Madang,PG,2021-10-31 02:27:46,-5.2246,145.7966,85.64,70,93,5.46,overcast clouds
